,words,counts
0,,70
763,🔸,63
645,the,48
172,:,44
472,for,25
515,in,23
37,#everydayindia,23
655,to,23
375,a,20
386,and,20
672,us,19
573,of,17
522,is,16
260,Follow,16
96,#lonelyplanetindia,15
69,#indiaclicks,14
139,#travelindia,14
138,#travelgram,14
71,#indianphotography,13
70,#indianphotographers,13
359,Use,13
85,#indiatravel,13
86,#indiatravelgram,13
68,#india_undiscovered,13
67,#india_everyday,13
29,#coloursofindia,13
84,#indiapictures,13
103,#mypixeldiary,13
127,#storiesofindia,13
128,#streetsofindia,13
155,#yourshot_india,13
22,#beautifuldestinations,13
143,#tripotocommunity,13
700,with,13
18,#asiatravel,13
140,#travelphotography,13
141,#travelrealindia,13
277,India,12
650,this,12
710,you,11
574,on,11
577,or,11
66,#india,11
418,by,11
579,our,10
65,#incredibleindia,10
480,get,10
478,from,9
518,infringement,9
333,Removal,9
297,Location,9
315,No,9
321,Page,9
521,intended,9
241,Checkout,9
261,Food,9
249,Dm/Email,9
243,Credits,9
425,chance,9
463,featured,9
242,Copyright,9
187,@indiafoodlife,9
87,#indiatravellife,9
189,@indiatravellife,9
730,✨,9
10,#TravelRealIndia,9
740,🌸,9
561,my,8
711,your,8
402,beautiful,8
722,•,7
364,Video,7
373,Your,7
108,#oph,7
275,I,7
216,@travelrealindia,7
324,Pic,6
158,-,6
325,Picture,6
680,was,5
435,comment,5
262,For,5
640,tagging,5
250,Do,5
621,so,5
616,section,5
609,review,5
771,🙌,5
349,Tag,5
49,#himachal,5
536,life,5
484,give,5
323,Photographer,5
352,This,5
545,love,5
320,Our,5
319,Or,5
394,as,4
524,it,4
259,Feature,4
750,📍,4
377,about,4
384,an,4
766,😍💚,4
761,📸,4
351,The,4
747,💚,4
358,Us,4
271,Hashtag,4
344,So,3
664,trip,3
686,we,3
705,would,3
575,one,3
97,#manali,3
81,#indiantravellerTag,3
112,#photography,3
550,me,3
90,#instahimachal,3
624,someone,3
525,its,3
459,fall,3
548,many,3
100,#mountains,3
644,that,3
537,like,3
221,After,2
707,year,2
316,Nov,2
308,"Meghalaya,",2
209,@sajad_machu,2
302,Maldives,2
273,Himachal,2
301,"Maharashtra,",2
232,Bridge,2
244,DM,2
248,Did,2
712,||,2
296,Living,2
258,"Falls,",2
285,Jogini,2
265,Friends,2
268,Grand,2
526,it’s,2
360,"Uttarakhand,",2
699,will,2
576,only,2
652,through,2
649,these,2
419,call,2
446,do,2
455,experience,2
636,sunset,2
588,peaceful,2
488,ground,2
696,who,2
496,have,2
501,her,2
567,new,2
516,includes,2
556,more,2
546,make,2
535,law,2
401,be,2
396,away,2
391,are,2
389,anyone,2
694,where,2
693,when,2
691,what,2
334,Root,2
335,Sandra,2
338,She,2
348,TAG,2
354,Traveller:,2
675,view,2
531,kilometers,2
376,able,2
378,after,2
381,also,2
382,amazing,2
653,time,2
476,friends,2
387,another,2
14,#adventure,2
27,#climbing,2
147,#wanderlust,2
146,#wander,2
126,#spitivalley,2
15,#adventurephotography,2
56,#himalayas,2
152,#winters,2
28,#climbingphotography,2
38,#explore,2
43,#frozenwaterfall,2
125,#spiti,2
58,#iceaxe,2
123,#sony,2
63,#ilovemyrajasthan,2
42,#frozen,2
134,#travel,2
59,#iceclimbing,2
148,#waterfall,2
46,#girlswhotravelindia,1
581,over!,1
580,over,1
47,#goramghat,1
582,overlooked,1
583,pandemic,1
584,parksWhile,1
585,part,1
586,payment,1
578,orchards,1
184,@giannistsou1Romantic,1
48,#happiness,1
50,#himachali,1
45,#girlswhotravelglobal,1
51,#himachalphotos,1
52,#himachalpictures,1
572,number,1
571,now,1
570,not,1
569,no,1
568,next,1
53,#himachalpradesh,1
566,never,1
565,needed,1
564,nature,1
587,peace,1
593,"planet,",1
589,picture,1
614,ruled,1
608,returns,1
44,#girlsdreamtravel,1
610,right,1
611,road,1
612,route,1
613,royal,1
615,scenic,1
590,pine,1
617,shadows,1
618,shared,1
619,site,1
620,slot,1
622,sole,1
623,some,1
607,resting,1
606,resort,1
605,region,1
604,reel,1
603,recommend,1
602,recipe,1
601,reach,1
600,quiet,1
599,questions,1
598,proudly,1
597,proposed,1
596,problems,1
595,probably,1
594,popular,1
562,myself,1
592,places,1
591,pitch,1
563,national,1
558,most,1
54,#himalayanfootslogTAG,1
519,initial,1
503,hills,1
504,his,1
